@relation anime_rating

@attribute Genre {A, B, C, D, E, F}
@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
B, B, B, B, B, B, B, B, B
B, A, B, B, C, B, B, B, B
B, B, B, B, C, B, B, F, B
C, C, C, C, C, C, C, B, C
C, C, B, C, B, C, B, B, C
C, C, B, B, C, B, C, B, B
B, C, C, C, C, B, B, B, B
B, B, B, A, C, B, B, B, A
B, B, B, B, B, B, B, B, B
B, B, C, C, C, C, C, C, C
C, B, B, A, C, B, C, C, B
C, C, C, C, C, C, B, C, C
C, D, C, D, C, D, C, C, D
C, B, C, B, C, C, C, B, C
C, E, D, E, E, E, E, F, E
B, B, C, B, B, B, B, B, B
C, C, C, C, B, B, C, B, C
C, D, C, D, C, D, D, C, D
C, B, B, B, B, B, B, B, A
B, C, C, C, C, B, C, C, C
C, B, B, A, C, B, C, B, A
C, B, B, B, C, B, B, B, B
C, B, B, B, C, B, B, B, B
C, E, D, E, B, D, E, E, E
C, C, C, B, B, B, B, B, C
C, B, B, B, C, F, B, F, B
C, D, B, C, C, B, C, B, C
C, B, B, B, C, B, B, B, B
C, C, B, B, C, B, C, B, B
C, C, B, C, B, C, C, C, C
B, C, B, B, B, B, B, B, B
B, C, C, C, C, B, B, B, B
C, B, F, C, B, C, B, B, C
C, C, C, C, C, C, C, C, C
C, B, B, C, B, B, C, B, B
C, E, C, C, D, C, E, C, E
C, B, B, A, B, B, B, B, A
B, A, B, B, C, B, C, B, B
B, C, C, C, C, B, C, B, B
C, B, C, B, C, B, C, B, B
B, C, C, B, B, B, B, B, B
C, C, B, B, C, C, B, C, B
C, B, B, B, C, B, B, C, B
C, C, C, C, C, C, C, C, C
B, C, C, B, B, C, C, B, C
B, C, B, B, B, B, B, B, B
D, D, D, D, D, D, D, F, D
C, D, D, D, B, C, B, C, D
C, B, B, B, B, A, B, B, A
C, B, B, B, B, A, B, B, A
B, B, B, B, C, D, C, B, B
C, B, B, C, C, B, C, B, B
C, C, D, D, C, C, D, C, D
C, D, C, D, C, D, C, C, C
C, C, B, C, B, B, B, B, B
C, B, C, B, B, C, C, B, C
C, C, B, B, C, B, C, B, B
B, C, C, C, C, B, D, B, C
C, B, B, B, C, B, B, B, A
C, C, C, B, C, C, C, C, C
C, D, C, D, C, C, C, B, C
C, D, C, C, C, C, C, C, D
C, C, C, C, C, C, B, C, C
B, B, B, C, C, B, B, B, B
B, C, B, C, B, B, C, B, B
C, D, C, D, D, C, D, C, D
C, B, C, B, B, B, B, B, B
C, B, C, C, C, C, B, B, C
C, C, F, B, C, C, C, B, C
C, C, B, B, C, B, B, B, B
B, C, B, C, C, B, B, C, B
C, A, B, A, B, A, B, B, A
B, B, B, C, B, B, B, B, B
C, C, C, C, B, B, C, B, C
B, C, C, C, B, C, C, B, C
C, C, C, C, C, C, C, B, C
C, C, C, C, C, B, C, B, B
B, B, C, C, C, B, C, B, C
C, B, C, C, C, C, B, C, C
B, B, C, B, B, B, C, B, B
C, B, B, B, C, B, B, B, B
C, C, C, C, B, C, C, B, C
C, C, C, B, B, C, B, B, C
C, C, C, B, C, C, B, B, C
B, C, B, B, D, B, C, B, B
B, B, C, B, B, B, B, B, B
C, B, C, B, B, C, C, B, C
C, C, C, C, B, C, C, C, C
C, B, B, B, C, C, C, C, B
C, B, B, C, B, B, B, B, B
B, A, B, B, B, B, B, F, B
C, B, B, B, C, C, C, B, B
C, E, D, E, D, E, D, F, E
C, C, C, B, C, B, C, B, A
C, C, C, C, C, C, C, C, C
C, D, C, C, C, C, C, C, D
C, C, C, C, C, C, C, E, C
B, B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, C, C
C, D, C, C, D, D, C, C, D
B, B, B, B, C, C, B, B, B
B, B, C, D, C, C, C, B, C
B, A, B, B, B, A, B, B, A
C, C, B, B, C, B, B, B, B
C, C, B, C, C, B, B, B, B
C, B, B, B, B, B, B, B, B
B, D, C, C, C, C, C, C, C
B, C, C, C, C, B, B, B, B
C, D, D, D, D, D, D, F, D
C, B, B, B, B, B, B, B, B
C, C, C, C, B, C, C, B, C
B, B, A, A, C, A, C, B, A
B, B, C, A, C, B, B, B, A
C, B, B, B, B, A, B, B, A
C, A, B, B, C, B, B, B, A
C, D, D, D, C, D, D, C, D
B, C, B, B, A, B, B, B, A
C, C, C, C, C, B, B, B, B
B, C, D, D, D, C, D, C, C
C, C, C, C, C, B, C, B, C
C, D, C, D, D, D, B, C, D
B, B, B, B, B, B, B, B, B
B, B, C, C, B, C, C, B, B
B, B, B, C, C, C, B, B, B
C, B, C, C, B, C, B, C, C
B, A, B, B, B, B, B, B, B
B, C, B, B, B, B, B, C, B
B, C, C, C, D, C, C, C, C
C, A, B, A, B, B, B, B, A
C, D, D, D, D, D, D, D, D
B, B, A, A, C, C, C, B, A
C, D, D, E, C, D, C, C, E
B, B, B, B, B, B, B, B, B
C, C, C, D, C, C, C, C, D
B, B, B, B, B, B, B, B, A
B, C, B, B, C, B, B, B, B
B, B, B, A, B, B, B, B, A
C, B, C, B, C, B, B, B, C
C, C, C, C, C, C, C, C, C
C, D, C, C, D, C, C, C, D
C, C, C, B, C, C, B, B, C
C, B, C, C, C, C, C, B, C
C, E, E, E, D, D, D, F, E
B, B, B, B, B, C, B, B, B
B, B, B, B, B, B, B, B, B
C, C, C, B, C, B, B, B, B
B, C, D, D, C, D, D, C, D
C, D, D, D, C, C, D, C, D
C, C, C, D, C, C, C, C, C
B, A, B, A, B, B, B, B, A
C, B, C, C, B, C, C, B, C
C, B, C, B, B, B, C, B, B
B, C, C, C, C, C, C, C, C
D, D, D, D, C, D, D, D, D
C, A, B, A, B, B, B, B, A
C, D, E, E, E, D, C, C, E
C, B, B, B, C, B, B, B, B
C, D, C, D, C, D, C, C, D
C, E, E, E, D, D, D, F, E
C, C, C, C, C, C, B, B, C
B, C, C, C, C, B, D, B, C
C, A, B, B, C, A, B, B, A
C, A, B, B, B, A, B, B, A
C, B, B, B, C, B, B, C, B
C, C, C, B, C, B, B, C, C
C, B, B, B, B, B, B, B, B
B, C, C, C, C, C, C, C, D
C, B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, C, C
B, C, C, B, C, B, B, B, B
B, A, B, B, C, B, C, B, B
C, B, B, C, C, C, C, B, C
C, D, C, D, C, D, C, C, D
C, B, B, B, B, B, B, B, B
C, B, B, A, C, B, B, B, B
C, C, B, C, B, C, C, C, B
C, C, B, C, C, C, B, B, C
C, C, C, D, C, D, C, C, D
C, C, D, D, C, D, B, C, D
B, B, B, B, C, B, B, B, A
C, D, D, C, D, D, D, C, D
C, D, D, D, D, D, D, D, D
C, A, B, B, C, B, B, B, A
B, C, B, C, B, B, C, C, B
C, C, F, C, C, C, C, C, C
C, C, C, C, C, C, C, C, D
B, C, C, C, B, C, C, C, C
C, C, D, D, C, C, C, B, D
C, C, B, C, D, C, C, B, C
C, D, C, D, B, C, C, C, D
C, D, C, D, C, C, B, C, D
C, C, C, C, C, C, B, C, D
C, B, B, B, C, B, B, B, B
C, C, C, B, C, B, C, B, B
B, C, D, C, B, C, C, B, C
B, C, C, B, D, C, B, C, C
C, D, C, C, C, D, B, C, D
C, B, B, B, C, B, B, B, B
B, B, B, B, B, B, C, B, A
C, B, B, B, C, B, B, B, B
C, B, B, A, B, B, B, B, B
B, A, B, A, C, B, C, B, A
C, F, C, C, B, C, C, B, B
C, B, D, F, D, D, B, C, E
C, C, C, C, C, C, C, C, C
C, B, B, C, C, B, C, B, B
C, C, B, B, C, C, B, C, C
B, B, B, A, B, B, B, C, A
C, C, C, B, C, F, B, B, B
B, C, C, C, D, D, C, C, D
C, C, C, B, C, C, C, C, C
C, E, E, E, E, E, B, C, E
C, C, C, C, C, C, B, C, C
C, C, C, D, C, D, C, C, D
B, B, C, C, B, C, C, C, C
C, B, B, B, B, C, C, C, B
C, B, B, B, C, B, B, B, B
C, D, C, C, C, D, C, C, C
C, C, C, C, B, C, C, B, C
B, C, C, C, C, C, C, C, C
B, B, B, A, B, B, B, B, A
C, B, B, B, C, C, B, B, C
B, C, C, D, C, C, C, D, D
B, C, C, B, B, C, B, B, B
C, C, C, C, B, C, C, B, D
C, C, B, B, C, B, B, B, B
B, C, C, C, C, C, C, C, D
B, B, B, B, B, B, B, B, B
B, B, B, B, B, B, B, B, B
B, B, B, B, C, B, B, B, B
B, B, C, B, C, B, B, B, B
B, B, C, A, B, B, B, B, A
B, A, B, B, C, B, B, B, B
C, C, D, C, C, C, C, C, D
B, A, B, B, B, A, B, B, A
C, C, C, C, C, C, C, B, C
C, C, B, C, B, C, B, B, B
B, B, B, C, C, B, C, B, B
C, B, B, C, C, C, B, C, C
B, B, B, B, C, A, B, B, B
B, B, B, B, B, B, B, B, A
C, E, C, C, C, E, B, C, F
C, C, C, D, C, D, D, C, D
B, B, B, B, B, B, B, B, B
C, C, C, C, B, C, C, B, C
C, B, C, C, C, C, B, C, B
B, B, B, C, C, C, B, B, A
C, B, B, B, B, B, B, B, B
C, C, C, C, C, C, B, C, C
C, C, D, D, C, C, C, C, D
B, B, B, C, B, B, B, B, C
C, C, B, C, C, C, B, B, C
B, B, C, B, C, B, B, B, B
B, B, B, C, B, B, C, C, B
C, C, C, C, C, C, C, B, C
C, B, B, B, B, B, B, B, B
C, B, C, C, C, B, C, B, C
C, C, C, C, C, C, C, B, C
C, B, B, B, C, B, C, C, C
B, B, C, C, C, C, C, B, C
C, C, C, C, C, B, C, B, B
C, B, B, B, B, C, B, B, A
B, C, C, C, B, C, C, C, B
C, B, D, C, D, C, C, B, B
B, B, B, B, B, B, B, B, B
C, A, B, B, B, A, B, B, A
C, B, B, B, B, A, B, B, A
C, C, C, C, C, F, B, B, C
B, B, B, B, B, B, B, B, A
B, D, B, B, C, B, C, B, B
C, B, B, B, C, B, B, C, B
C, D, C, C, C, D, C, C, D
C, C, C, C, C, C, D, C, C
B, B, B, A, C, A, C, B, A
B, C, B, B, B, B, B, B, B
C, B, B, B, C, B, B, B, B
C, C, C, C, C, C, C, B, C
C, C, D, D, C, D, D, C, D
C, C, F, C, C, C, C, C, C
C, D, C, D, C, C, C, C, C
C, B, B, B, C, B, B, B, B
C, C, C, B, C, B, B, B, B
C, C, B, B, B, B, B, B, B
C, C, C, C, B, C, C, C, C
C, C, C, C, C, C, C, B, C
C, B, B, B, C, B, B, B, B
B, B, B, A, B, B, B, B, A
C, C, B, C, C, C, C, B, C
C, B, B, B, C, B, B, B, B
C, C, C, B, B, B, B, B, C
B, B, B, B, B, B, B, B, B
C, C, B, C, B, B, C, B, C
B, A, B, B, B, B, B, B, B
B, B, B, B, C, B, A, B, A
C, B, C, C, C, C, B, B, C
C, C, C, B, C, B, B, B, C
B, A, B, A, C, B, B, B, A
C, B, B, B, C, B, B, B, B
C, C, C, C, B, C, C, B, C
C, C, D, D, C, C, C, C, E
C, C, C, C, C, C, C, B, C
B, B, B, C, B, B, C, C, B
B, B, B, A, B, A, B, B, A
B, C, C, C, C, B, C, C, C
C, B, B, B, B, B, B, B, B
B, C, B, C, C, B, B, B, C
C, B, B, B, C, A, B, B, A
B, A, B, B, C, B, B, B, A
B, B, C, B, B, C, C, B, C
B, E, C, B, C, C, B, C, C
C, C, D, B, C, B, C, B, B
C, C, B, C, C, F, B, B, C
B, B, B, B, B, A, B, B, A
B, B, C, B, C, B, B, B, A
C, B, B, C, C, C, B, B, C
C, C, B, C, C, B, B, B, B
C, D, C, D, C, C, B, C, D
C, B, B, A, C, B, B, B, A
C, C, C, C, C, C, C, B, C
C, D, C, B, C, C, C, C, B
C, C, C, C, B, C, C, C, C
B, A, B, A, A, B, B, B, A
B, B, B, B, C, B, B, B, B
C, D, C, D, C, C, B, C, D
C, C, B, C, C, B, B, B, B
C, C, C, D, C, D, D, C, D
C, D, D, C, C, C, C, B, D
C, C, C, C, C, C, C, B, C
C, A, B, B, C, B, C, B, A
C, B, B, C, C, B, B, B, B
C, B, B, B, C, B, B, B, B
C, C, C, B, C, C, C, B, B
C, C, C, C, C, C, C, C, C
C, B, D, B, B, C, B, B, C
B, B, A, A, C, C, B, B, A
B, C, B, B, B, C, C, C, B
C, C, B, C, C, B, B, B, B
C, B, B, B, C, B, B, B, B
C, B, C, B, C, B, C, B, B
C, D, C, C, C, D, C, C, C
C, C, C, C, C, C, C, B, C
B, B, B, B, B, B, B, C, B
C, C, C, A, C, B, B, B, A
C, B, B, B, C, A, B, B, A
B, C, C, C, B, C, C, C, C
C, B, B, B, B, B, B, B, B
C, C, C, C, C, C, C, B, C
B, A, B, B, B, B, B, B, B
B, A, B, A, B, B, B, B, A
B, C, B, C, C, C, C, C, C
C, B, B, B, C, C, B, B, C
C, B, B, B, C, F, B, B, B
B, B, B, C, C, B, B, B, B
C, B, C, B, C, C, C, C, B
C, D, C, D, C, D, C, C, D
C, C, C, B, B, B, B, F, C
C, C, C, B, C, B, C, B, B
C, C, C, C, B, C, C, C, B
C, B, B, B, B, B, B, B, A
C, A, B, B, C, B, B, B, B
C, C, C, C, D, C, B, B, C
C, B, C, D, C, C, C, C, D
C, B, C, B, C, B, C, C, B
B, B, B, C, C, B, B, B, B
C, B, B, B, C, B, B, B, B
C, B, C, B, C, B, B, B, B
C, D, C, D, C, C, C, B, D
C, D, D, C, C, C, C, C, D
C, D, C, C, C, D, D, C, E
C, D, C, C, C, C, B, B, C
C, B, C, C, C, B, B, B, A
B, C, C, C, C, C, C, B, C
B, B, B, B, C, B, B, B, B
B, C, C, B, B, F, B, B, B
B, A, B, B, B, B, B, B, B
C, C, D, D, C, C, C, C, C
B, B, B, B, B, B, B, C, C
C, C, D, C, C, C, C, B, B
C, C, C, B, C, B, B, B, B
C, B, C, B, B, C, B, B, B
C, B, C, D, B, C, B, B, C
C, C, B, C, B, B, C, B, B
B, B, B, B, C, B, A, B, A
C, C, C, C, C, C, C, B, C
C, B, B, A, B, B, B, C, A
B, B, B, B, C, B, C, B, B
C, C, B, B, C, B, B, B, B
C, B, B, B, B, B, B, B, A
C, B, B, B, C, C, C, B, B
C, B, B, B, B, B, B, B, B
C, C, B, C, C, B, C, C, C
C, D, C, C, C, C, C, C, D
B, B, B, B, C, B, B, B, B
B, A, A, B, B, B, B, B, A
C, D, C, D, B, C, C, C, D
B, C, C, C, B, C, C, C, C
C, B, B, B, B, B, B, B, B
C, D, C, C, C, C, C, C, C
C, C, C, C, C, C, B, B, C
B, B, B, C, C, B, C, B, B
C, B, B, A, B, B, B, B, B
B, C, C, C, C, B, C, B, C
C, C, C, C, C, C, B, C, C
C, C, C, C, C, C, B, C, C
B, B, B, B, B, B, B, B, B
C, A, A, A, A, A, A, A, A
C, B, C, B, C, C, B, C, B
C, B, B, B, B, B, B, B, B
C, B, B, C, C, C, B, B, B
C, D, C, C, C, C, C, C, D
C, B, B, B, B, B, B, C, A
C, C, C, C, C, B, B, B, B
C, C, D, D, C, D, D, C, D
C, C, C, C, B, C, C, C, D
C, D, C, C, C, C, C, B, C
B, B, B, B, B, B, B, B, B
B, C, C, B, B, B, B, B, B
C, C, C, C, B, C, B, C, C
B, A, B, B, B, B, B, B, B
C, A, B, B, A, B, B, B, A
C, D, C, C, C, D, C, C, E
C, C, C, C, C, C, C, B, C
C, C, C, B, C, B, C, B, C
C, B, B, B, C, B, C, B, B
C, C, C, C, D, C, B, C, C
C, C, C, C, C, C, C, C, C
C, C, C, C, C, C, C, B, C
C, C, C, C, C, D, D, C, C
C, C, C, D, C, C, C, C, C
C, B, B, B, B, B, B, C, B
B, C, B, B, B, B, B, B, B
B, B, B, B, B, B, C, B, B
C, C, C, C, C, C, B, C, C
B, B, B, B, C, B, C, B, B
C, B, B, C, C, B, B, B, B
B, C, C, C, C, C, C, C, C
C, C, B, B, C, B, B, C, B
C, C, B, B, C, B, B, B, B
C, C, C, C, C, C, C, C, C
C, A, B, B, C, C, B, B, C
C, B, B, B, B, B, B, C, C
C, B, B, B, C, B, C, C, B
B, C, C, C, B, C, C, B, C
C, D, D, D, C, D, C, C, D
B, C, B, C, B, B, B, B, B
B, C, C, C, B, B, B, B, B
B, C, C, B, B, B, B, B, B
C, C, B, B, C, C, C, C, C
C, C, C, C, C, C, C, B, C
C, B, B, C, B, B, C, C, B
C, D, C, E, C, C, C, B, C
C, C, C, C, C, D, D, C, D
C, C, C, B, C, B, B, C, C
C, C, C, C, C, C, C, C, C
B, B, C, B, B, B, B, B, A
C, D, C, B, C, D, B, B, D
B, B, B, B, C, B, B, B, A
C, B, B, B, B, B, B, C, B
B, B, B, B, B, C, C, B, B
C, B, B, B, C, B, B, C, B
C, C, C, C, D, C, B, C, C
B, B, B, C, C, B, B, C, B
C, B, B, A, B, B, B, B, B
B, B, C, B, B, B, B, C, C
C, B, B, B, C, B, B, B, B
C, C, B, C, B, B, C, B, B
C, B, B, B, C, B, B, B, B
B, B, B, C, C, C, C, B, C
B, B, B, B, C, B, C, B, B
C, C, C, C, B, C, C, B, C
B, A, B, A, A, A, B, B, A
C, B, B, B, C, B, B, B, B
C, C, B, C, C, B, C, C, C
C, D, C, C, C, D, B, C, E
B, C, C, B, B, B, C, B, B
C, C, C, B, C, C, C, C, C
C, C, C, B, B, C, F, C, D
B, C, C, C, B, B, C, C, C
C, C, C, C, C, D, C, D, D
C, C, C, C, C, C, C, C, D
B, B, B, B, B, B, B, B, A
B, B, B, B, B, B, B, B, A
C, B, B, C, C, B, B, B, B
C, C, C, B, C, C, C, C, C
C, B, C, B, D, C, C, B, B
B, B, B, B, C, B, B, B, B
C, B, B, B, B, B, B, B, A
C, C, C, B, B, B, B, B, B
B, D, C, C, C, D, C, C, D
C, B, B, B, B, B, C, C, B
C, C, C, A, C, B, C, B, A
C, B, C, B, C, C, B, C, B
C, C, B, C, C, B, B, C, C
C, C, C, C, C, C, C, C, C
C, C, B, B, C, C, B, C, D
B, B, C, B, C, B, B, B, B
C, E, C, D, C, D, D, C, E
C, C, C, C, C, C, C, C, D
B, C, C, C, C, C, B, C, C
C, B, B, B, B, C, B, B, C
C, B, B, B, B, B, C, B, B
C, D, C, B, C, F, D, C, C
C, C, C, D, C, D, B, B, D
C, C, C, D, C, D, B, B, D
B, A, B, A, C, A, B, B, A
C, B, B, B, C, B, C, B, A
C, E, C, D, C, C, B, C, E
B, C, B, B, B, B, C, C, B
C, D, B, D, C, C, B, C, D
B, B, A, A, B, A, B, B, A
B, B, B, C, C, B, B, B, B
B, B, B, B, C, B, C, B, B
C, D, C, D, C, C, B, B, D
